City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,mount gambier,0,AU,1525750318,80,-37.83,140.78,58.92,3.51
121,cururupu,92,BR,1525750319,100,-1.82,-44.87,74.94,1.39
122,pasni,0,PK,1525750319,97,25.26,63.48,81.87,6.64
123,kakonko,80,TZ,1525750319,100,-3.28,30.97,61.53,1.61
124,te anau,100,NZ,1525750319,96,-45.41,167.72,50.55,19.28
125,havre-saint-pierre,40,CA,1525744800,86,50.23,-63.6,33.8,9.17
126,hambantota,32,LK,1525750320,98,6.12,81.12,84.57,7.76
127,victoria,75,BN,1525746600,100,5.28,115.24,84.2,5.19
128,saskylakh,36,RU,1525750321,100,71.97,114.09,16.89,5.19
129,sola,0,NO,1525747800,87,58.89,5.65,50.0,2.24
130,qandala,0,SO,1525750321,66,11.47,49.87,68.1,3.96
131,grakhovo,40,RU,1525746600,81,56.05,51.96,44.6,13.42
132,fairbanks,75,US,1525748280,29,64.84,-147.72,50.0,6.93
133,thompson,20,CA,1525744800,44,55.74,-97.86,39.2,8.05
134,villarrica,8,CL,1525750322,100,-39.28,-72.23,47.76,2.06
135,nantucket,90,US,1525749300,100,41.28,-70.1,48.2,4.7
136,vila franca do campo,40,PT,1525748400,82,37.72,-25.43,62.6,2.24
137,kibaya,40,RW,1525748400,93,-2.2,30.56,64.4,2.24
138,yellowknife,90,CA,1525744800,48,62.45,-114.38,42.8,8.05
139,srednekolymsk,92,RU,1525750323,74,67.46,153.71,27.15,6.76
140,kaitangata,0,NZ,1525750324,68,-46.28,169.85,60.27,27.22
141,touros,88,BR,1525750324,96,-5.2,-35.46,77.1,11.01
142,meulaboh,12,ID,1525750324,100,4.14,96.13,84.12,1.95
143,dhanera,0,IN,1525750324,69,24.51,72.02,83.13,10.22
144,kindu,80,CD,1525750325,95,-2.95,25.92,70.98,2.73
145,chitungwiza,0,ZW,1525750325,81,-18.01,31.07,47.13,6.2
146,pimentel,64,BR,1525750325,98,-3.7,-45.5,74.13,4.07
147,sayville,20,US,1525748160,81,40.74,-73.08,59.0,7.2
148,waipawa,0,NZ,1525750326,57,-39.94,176.59,62.88,17.05
149,lompoc,1,US,1525748280,76,34.64,-120.46,59.0,10.29
150,bubaque,8,GW,1525750327,100,11.28,-15.83,79.98,14.47
151,longyearbyen,75,NO,1525747800,74,78.22,15.63,37.4,12.75
152,kingsland,1,US,1525748100,68,30.8,-81.69,73.4,4.41
153,masvingo,0,ZW,1525750327,81,-20.08,30.83,42.54,2.95
154,inhambane,20,MZ,1525748400,94,-23.87,35.38,69.8,8.21
155,ganjam,80,IN,1525750328,92,12.41,76.71,74.85,5.08
156,granby,1,CA,1525749300,60,45.41,-72.73,50.0,3.36
157,carballo,36,ES,1525748400,100,43.21,-8.69,53.6,4.7
158,piacabucu,92,BR,1525750329,99,-10.41,-36.43,74.04,7.43
159,constitucion,40,MX,1525747320,34,23.99,-104.67,68.0,5.82
160,galatii bistritei,0,RO,1525748400,76,46.98,24.4,51.8,2.24
161,velizh,0,RU,1525750330,79,55.61,31.2,45.78,2.73
162,grand gaube,40,MU,1525748400,88,-20.01,57.66,73.4,2.24
163,ambulu,0,ID,1525750331,89,-8.35,113.61,84.12,8.43
164,kambja,8,EE,1525747800,87,58.23,26.7,50.0,9.17
165,kondinskoye,36,RU,1525750331,73,59.65,67.41,38.13,4.07
166,huambo,0,AO,1525750332,76,-12.78,15.73,51.36,1.05
167,churapcha,76,RU,1525750149,47,62.0,132.43,60.54,7.76
168,moron,40,VE,1525748400,78,10.49,-68.2,78.8,3.36
169,trairi,80,BR,1525750333,100,-3.28,-39.27,82.05,12.46
170,liuzhou,0,CN,1525750333,94,24.32,109.41,76.47,8.99
171,college,75,US,1525748280,29,64.86,-147.8,50.0,6.93
172,vardo,1,US,1525749300,67,39.62,-77.74,62.6,4.7
173,bethel,90,US,1525747980,87,60.79,-161.76,41.0,17.22
174,marsh harbour,92,BS,1525750334,100,26.54,-77.06,70.8,9.22
175,rayachoti,20,IN,1525748400,52,14.06,78.75,93.2,8.05
176,bathsheba,40,BB,1525748400,78,13.22,-59.52,78.8,21.92
177,zboriste,0,BA,1525748400,87,45.15,16.02,51.8,3.36
178,kruisfontein,80,ZA,1525750335,99,-34.0,24.73,62.25,9.22
179,mahebourg,40,MU,1525748400,88,-20.41,57.7,73.4,2.24
180,mahajanga,40,MG,1525748400,88,-15.72,46.32,75.2,4.7
181,sechura,32,PE,1525750360,81,-5.56,-80.82,70.62,12.12
182,tupik,56,RU,1525750339,51,54.43,119.94,54.06,8.1
183,bogorodskoye,0,RU,1525750339,44,52.37,140.44,54.78,3.18
184,herat,0,AF,1525748100,42,34.35,62.22,62.6,9.17
185,handan,0,CN,1525750340,43,36.58,114.48,73.5,11.56
186,tabou,80,CI,1525750340,100,4.42,-7.36,80.97,5.97
187,chumikan,0,RU,1525750340,53,54.72,135.31,57.84,3.74
188,huilong,32,CN,1525750341,76,28.89,110.18,70.08,4.52
189,khani,75,GE,1525748400,93,41.96,42.96,64.4,4.7
